Barakaldo,Sabadell,7,Barakaldo,1972-1973,2ª,1,0
Sant Andreu,Logroñes,7,Sant Andreu,1972-1973,2ª,1,1
Elche,Rac. Santander,7,Elche,1972-1973,2ª,1,1
Sevilla,Cordoba,7,Sevilla,1972-1973,2ª,3,1
Valladolid,Cadiz,7,Valladolid,1972-1973,2ª,1,0
Osasuna,Valencia B,7,Osasuna,1972-1973,2ª,1,0
Cult. Leonesa,Osasuna,8,Cult. Leonesa,1972-1973,2ª,1,0
Tenerife,Gimn. Tarragona,8,Tenerife,1972-1973,2ª,1,0
Hercules,Pontevedra,8,Hercules,1972-1973,2ª,2,1
Murcia,Rayo Vallecano,8,Murcia,1972-1973,2ª,2,1
Sabadell,Mallorca,8,Sabadell,1972-1973,2ª,0,1
Logroñes,Barakaldo,8,Logroñes,1972-1973,2ª,1,1
Rac. Santander,Sant Andreu,8,Rac. Santander,1972-1973,2ª,1,1
Cordoba,Elche,8,Cordoba,1972-1973,2ª,1,2
Cadiz,Sevilla,8,Cadiz,1972-1973,2ª,1,1
Valencia B,Valladolid,8,Valencia B,1972-1973,2ª,0,0
